smile,dipole,electron_affinity,electrophilicity,nucleophilicity,electrofugality,nucleofugality,homo,lumo,homo-lumo,ionization_potential
CC(C)(C)[O-],1.3395032901948496,1.740038026028122,2.0083119930158917,-9.229269414957662,11.23758140797355,0.2682739669877699,-0.39261107175868615,-0.39261095604075924,-1.1571792690734384e-07,9.229269414957662
CC(C)(C)[PH+](C(C)(C)C)C(C)(C)C,0.13263960864437174,-2.9948988870563746,0.056877176629428074,-1.555907518769561,1.612784695398989,3.051776063685803,-0.40356542391498673,-0.14968975722454125,-0.2538756666904455,1.555907518769561
F[B-](F)(F)F,0.033214072750841137,6.529075659389473,6.911575527984401,-14.613471560195006,21.5250470881794,0.3824998685949276,-0.5672832698707664,-0.566697056128528,-0.0005862137422383285,14.613471560195006
O=C(C=Cc1ccccc1)C=Cc1ccccc1,1.3984455399711149,0.8633204138377177,1.3363985001052803,-7.6627662400461265,8.999164740151405,0.47307808626756254,-0.38192254686293975,-0.2944198137535188,-0.08750273310942097,7.6627662400461265
[H+],0.0,1.0660527329499523,1.9646883646243831,-12.107644141370763,14.072332505995147,0.898635631674431,-0.3934827639359724,-0.3934827639359724,0.0,12.107644141370763
[Na+],0.0,-2.3554420503643088,0.12035674573464097,-5.020367459928224,5.140724205662866,2.47579879609895,-0.048976522053220506,-0.16709674982163397,0.11812022776841347,5.020367459928224
[Pd],0.0,-1.048942696544568,0.8419364730818029,-9.463668103946633,10.305604577028436,1.8908791696263711,-0.41219230295388476,-0.32952620580863856,-0.0826660971452462,9.463668103946633
C1COCCOCCOCCOCCOCCO1,2.0236114273072383,-6.253360874034076,0.01643346976642456,-7.603054103176218,7.619487572942641,6.2697943438005,-0.38356190037402055,-0.01658992996565921,-0.3669719704083613,7.603054103176218
O=C([O-])[O-],0.05266247357840604,5.577116790891312,5.654263183359858,-14.398100196968358,20.052363380328217,0.0771463924685475,-0.5511710839464178,-0.5404426536052244,-0.010728430341193418,14.398100196968358
[Cu+],0.0,-0.2310525191050301,0.5796901582861683,-5.292015335856902,5.871705494143071,0.8107426773911984,-0.34935921058527675,-0.25441402513246936,-0.09494518545280739,5.292015335856902
[I-],3.575316967549179e-16,2.7929255373084825,3.042713006154683,-12.865118091412992,15.90783109756767,0.24978746884620032,-0.4476126069150612,-0.44761260691506116,-5.551115123125783e-17,12.865118091412992
[K+],0.0,-1.8603465902043843,0.16886014781975178,-4.8772470670747445,5.046107214894495,2.029206738024136,-0.03433772291572495,-0.16575223906142184,0.13141451614569688,4.8772470670747445
CC(=O)[O-],1.6492137637850641,3.3297195446121233,3.3523418589922134,-11.181193942640341,14.533535801632553,0.022622314380090026,-0.4698547294167434,-0.44587163838105526,-0.02398309103568813,11.181193942640341
[Pd+2],0.0,-1.048942696544568,0.8419364730818029,-9.463668103946633,10.305604577028436,1.8908791696263711,-0.41219230295388476,-0.32952620580863856,-0.0826660971452462,9.463668103946633
CCN(C(C)C)C(C)C,0.2839365521461126,-7.321403169131115,0.0004040205132809769,-7.540575140055287,7.540979160568568,7.321807189644396,-0.3327823156893067,-0.010834048001402035,-0.3219482676879047,7.540575140055287
CCN(CC)CC,0.3264859161511802,-8.075026552930822,0.0001554087225439816,-7.933946884342406,7.934102293064952,8.075181961653366,-0.3420292855266362,0.011567940920743616,-0.3535972264473798,7.933946884342406
O=C(O)[C@@H]1CCCN1,0.8590547731745959,-2.154858693060132,0.4960270195521504,-8.725749415694692,9.22177643524684,2.650885712612282,-0.3652508863607438,-0.2522208444371758,-0.11303004192356803,8.725749415694692
O=P([O-])([O-])[O-],5.622449505853409e-05,6.399956951134955,6.929667024782168,-13.65506770112275,20.584734725904923,0.5297100736472119,-0.5465662491048855,-0.5465661731177124,-7.598717310930425e-08,13.65506770112275
[Cu+2],0.0,-0.2310525191050301,0.5796901582861683,-5.292015335856902,5.871705494143071,0.8107426773911984,-0.34935921058527675,-0.25441402513246936,-0.09494518545280739,5.292015335856902
CSCC[C@H](N)C(=O)O,1.1787384229537137,-1.0546214151959061,0.6332799768791884,-7.723273510081372,8.356553486960562,1.6879013920750947,-0.3555985215811931,-0.2598588517324654,-0.09573966984872767,7.723273510081372
O=C[C@@H]1CCCN1,1.3863919532009725,-1.5547072223641658,0.6051051993565565,-8.547941116374306,9.153046315730862,2.159812421720722,-0.37031210358899325,-0.27765423560902436,-0.09265786797996889,8.547941116374306
[Cl-],0.0,3.38840544980636,3.527595710092583,-13.524852957041663,17.052448667134254,0.13919026028622342,-0.4657520363889021,-0.4657520363889021,0.0,13.524852957041663
O=C([O-])O,1.0149273875139475,4.558377297619321,4.560686511402161,-13.273874408903659,17.83456092030582,0.0023092137828385597,-0.5109919291352931,-0.5089202804756677,-0.0020716486596253914,13.273874408903659
[Li]CCCC,1.8906906343385446,-2.308175452211514,0.22543563930554236,-6.232939639968961,6.458375279274504,2.5336110915170558,-0.2796501332118892,-0.187306444172819,-0.0923436890390702,6.232939639968961
Oc1cccc2cccnc12,1.0302372448238795,0.17379853722459604,1.0802258641063358,-8.105177667254626,9.185403531360963,0.9064273268817399,-0.37716632915231546,-0.2851695682758075,-0.09199676087650799,8.105177667254626
c1ccc(P(c2ccccc2)c2ccccc2)cc1,0.6042409851765941,-0.1488748732870846,0.8318588324309506,-7.089246948350963,7.921105780781915,0.9807337057180351,-0.35698847892832003,-0.2423042693545826,-0.11468420957373743,7.089246948350963
c1ccncc1,0.8744863999621157,-1.2787721434804444,0.7087039119005926,-8.860851517074535,9.569555428975127,1.9874760553810373,-0.37165066264917984,-0.25655735911819866,-0.11509330353098118,8.860851517074535
[Cs+],0.0,-1.8422721507131556,0.14714959681128617,-4.595098282113987,4.742247878925274,1.989421747524442,-0.051235649983939355,-0.14852996246142935,0.09729431247749,4.595098282113987
C[O-],1.3294001144909324,1.9148824753067606,2.2536336493186058,-10.594610878804213,12.84824452812282,0.33875117401184596,-0.41466798531765986,-0.41466792088714627,-6.443051359106278e-08,10.594610878804213
O=C1c2ccccc2C(=O)N1O,1.650026530029667,1.3030140367523773,1.7695444845384247,-9.409547218001903,11.179091702540326,0.466530447786047,-0.42413369527401623,-0.32765110851149315,-0.09648258676252308,9.409547218001903
Cc1ccccc1P(c1ccccc1C)c1ccccc1C,0.4255950316834228,-0.18092898316807915,0.7785545007931517,-6.7523370242175975,7.530891525010751,0.9594834839612308,-0.34531420579339656,-0.24058706605083455,-0.10472713974256201,6.7523370242175975
