Solvent,alpha,beta,beta**2,eps,gamma,n,phi**2,psi**2,smiles
2methylpyridine,0.0,0.58,0.3364,9.9533,47.5,1.4957,0.509796,0.0,Cc1ccccn1
4methyl2pentanone,0.0,0.51,0.2601,12.8871,33.83,1.3962,0.0,0.0,CC(C)CC(C)=O
aceticacid,0.61,0.44,0.1936,6.2528,39.01,1.372,0.0,0.0,CC(O)=O
acetonitrile,0.07,0.32,0.1024,35.6881,41.25,1.3442,0.0,0.0,CC#N
acetophenone,0.0,0.48,0.2304,17.44,56.19,1.5372,0.444889,0.0,CC(=O)c1ccccc1
aniline,0.26,0.41,0.1681,6.8882,60.62,1.5863,0.734449,0.0,Nc1ccccc1
anisole,0.0,0.29,0.0841,4.2247,50.52,1.5174,0.5625,0.0,COc1ccccc1
benzene,0.0,0.14,0.0196,2.2706,40.62,1.5011,1.0,0.0,c1ccccc1
benzonitrile,0.0,0.33,0.1089,25.592,55.83,1.5289,0.5625,0.0,N#Cc1ccccc1
benzylalcohol,0.33,0.56,0.3136,12.4569,52.96,1.5396,0.5625,0.0,OCc1ccccc1
bromobenzene,0.0,0.09,0.0081,5.3954,50.72,1.5597,0.734449,0.020449,Brc1ccccc1
bromoethane,0.0,0.12,0.0144,9.01,34.0,1.4239,0.0,0.110889,CCBr
bromoform,0.15,0.06,0.0036,4.2488,64.58,1.6005,0.0,0.5625,BrC(Br)Br
bromooctane,0.0,0.12,0.0144,5.0244,41.28,1.4524,0.0,0.0121,CCCCCCCCBr
butanol,0.37,0.48,0.2304,17.3323,35.88,1.3993,0.0,0.0,CCCCO
butanone,0.0,0.51,0.2601,18.2457,34.5,1.3788,0.0,0.0,CCC(C)=O
butylacetate,0.0,0.45,0.2025,4.9941,35.81,1.3941,0.0,0.0,CCCCOC(C)=O
butylbenzene,0.0,0.15,0.0225,2.36,41.33,1.4898,0.36,0.0,CCCCc1ccccc1
carbondisulfide,0.0,0.07,0.0049,2.6105,45.45,1.6319,0.0,0.0,S=C=S
chlorobenzene,0.0,0.07,0.0049,5.6968,47.48,1.5241,0.734449,0.020449,Clc1ccccc1
chloroform,0.15,0.02,0.0004,4.7113,38.39,1.4459,0.0,0.5625,ClC(Cl)Cl
chlorohexane,0.0,0.1,0.01,5.9491,37.03,1.4199,0.0,0.020449,CCCCCCCl
cyclohexane,0.0,0.0,0.0,2.0165,35.48,1.4266,0.0,0.0,C1CCCCC1
cyclohexanone,0.0,0.56,0.3136,15.6186,49.76,1.4507,0.0,0.0,O=C1CCCCC1
decalin,0.0,0.0,0.0,2.196,43.82,1.4528,0.0,0.0,C1CCC2CCCCC2C1
decane,0.0,0.0,0.0,1.9846,33.64,1.4102,0.0,0.0,CCCCCCCCCC
decanol,0.37,0.48,0.2304,7.5305,41.04,1.4372,0.0,0.0,CCCCCCCCCCO
dibromoethane,0.1,0.17,0.0289,4.9313,56.93,1.5387,0.0,0.25,CC(Br)Br
dibutylether,0.0,0.45,0.2025,3.0473,35.98,1.3992,0.0,0.0,CCCCOCCCC
dichloroethane,0.1,0.11,0.0121,10.125,45.86,1.4448,0.0,0.25,CC(Cl)Cl
diethylether,0.0,0.41,0.1681,4.24,23.96,1.3526,0.0,0.0,CCOCC
